Date,Narration,Debit,Credit,Balance
02/04/2026,SALARY APRIL,,"88,000.00","1,04,200.00"
02/04/2026,BIG BAZAAR RETAIL,"2,340.00",,"1,01,860.00"
03/04/2026,UPI/RAMESH TRADERS,"1,250.00",,"1,00,610.00"
05/04/2026,Ramesh Traders,"2,000.00",,"98,610.00"
06/04/2026,SWIGGY ORDER,"640.00",,"97,970.00"
08/04/2026,ELECTRICITY BOARD,"3,180.00",,"94,790.00"
11/04/2026,RAMESH TRADERS.,"1,700.00",,"93,090.00"
12/04/2026,JIO RECHARGE,"399.00",,"92,691.00"
15/04/2026,DMART GROCERY,"1,860.00",,"90,831.00"
18/04/2026,CYBER CELL VERIFICATION,"89,000.00",,"1,831.00"
